0;1;2;3
Uzupełnij zdania opisujące wygląd osób, wpisując odpowiednie słowa.;Complétez les phrases en décrivant l'apparence des personnes.;Description physique;
Mon père est très;, il mesure 1m90.;grand;taille
Ma petite sœur est;et elle pèse seulement 45 kilos.;mince;silhouette (szczupła)
Mon grand-père est;car il a perdu tous ses cheveux.;chauve;sans cheveux
Marie a de beaux yeux;comme le ciel.;bleus;couleur
Le professeur a les cheveux;, ils ne sont pas du tout raides.;bouclés;formant des boucles
Ma mère se coiffe toujours avec un;pour aller au travail.;chignon;coiffure élégante (kok)
Mon oncle a une grande;sur le bras depuis son accident.;cicatrice;trace (blizna)
Pierre porte des;parce qu'il ne voit pas bien.;lunettes;pour voir
Ma grand-mère a beaucoup de;sur le visage à cause de son âge.;rides;âge (zmarszczki)
Mon frère a une;qui cache son front.;frange;cheveux devant (grzywka)
Le bébé a les oreilles;, c'est très mignon !;décollées;position (odstające)
Sophie a deux;dans les cheveux aujourd'hui.;couettes;coiffure fille (kucyki)
Mon ami est un peu;, il devrait faire du sport.;gros;corpulence
Elle a un petit;sur la joue, c'est charmant.;grain de beauté;tache naturelle (pieprzyk)
Papa est;sur le dessus de la tête mais a encore des cheveux sur les côtés.;dégarni;calvitie partielle
Mon cousin a les cheveux;, ils sont très lisses et brillants.;raides;lisses
Le directeur est;, il a une belle barbe noire.;barbu;poils au menton (brodaty)
Ma tante a les yeux;comme du chocolat.;marron;couleur (brązowe)
Il a des;sous les yeux car il ne dort pas assez.;cernes;fatigue (worki pod oczami)
Mon voisin a un;nez qui lui donne du caractère.;long;taille (długi nos)
